1761871172,1
1761871184,1
1761871214,1
1761871244,1
1761871274,1
1761871304,1
1761871334,1
1761871364,1
1761871394,1
1761871424,1
1761871454,1
1761871484,1
1761871514,1
1761871544,1
1761871574,1
1761871604,1
1761871634,1
1761871664,1
1761871694,1
1761871724,1
1761871754,1
1761871784,1
1761871814,1
1761871844,1
1761871874,1
1761871904,1
1761871934,1
1761871964,1
1761871994,1
1761872024,1
1761872054,1
1761872084,1
1761872114,1
1761872144,1
1761872174,1
1761872204,1
1761872234,1
1761872264,1
1761872294,1
1761872324,1
1761872354,0
1761872384,0
1761872414,0
1761872444,0
1761872474,0
1761872504,0
1761872534,0
1761872564,0
1761872594,0
1761872624,0
1761872654,0
1761872684,0
1761872714,0
1761872744,0
1761872774,0
1761872804,0
1761872834,0
1761872864,0
1761872894,0
1761872924,0
1761872954,0
1761872984,0
1761873014,0
1761873044,0
1761873074,0
1761873104,0
1761873134,0
1761873164,0
1761873194,0
1761873224,0
1761873254,0
1761873284,0
1761873314,0
1761873344,0
1761873374,0
1761873404,0
1761873434,0
1761873464,0
1761873494,0
1761873524,0
1761873554,0
1761873584,0
1761873614,0
1761873644,0
1761873674,0
1761873704,0
1761873734,0
1761873764,0
1761873794,1
1761873824,1
1761873854,1
1761873884,1
1761873914,1
1761873944,1
1761873974,1
1761874004,1
1761874034,1
1761874064,1
1761874094,1
